club,direccion,sitio,ciudad,pais,estado,presencial,telefono,e-mail
Ciudad Real San Cristóbal de Las Casas,"Real de Mexicanos # 26, Barrio de Mexicanos, Av. 16 de Septiembre, San Cristóbal de Las Casas",luisglez2626.github.io/rotary/club.html,San Cristóbal de Las Casas,México,Chiapas,True,+52 921 844-3975,ciudadrealsancristobaldelascasas@rotaryd4195.org
Coatzacoalcos,"Miguel Alemán 202, Col. Centro, Coatzacoalcos",luisglez2626.github.io/rotary/club.html,Coatzacoalcos,México,Veracruz,True,+52 984 478-9945,coatzacoalcos@rotary4195.mx
Comitan de Dominguez,"7a. Av. Poniente Sur y 9a. Calle Poniente Sur, Comitán de Domínguez",luisglez2626.github.io/rotary/club.html,Comitán de Domínguez,México,Chiapas,True,+52 971 662-8624,comitandedominguez@rotary4195.mx
Cozumel,"Av. Rafael E. Melgar, esquina con Calle 12 Norte, Col. Centro, Cozumel",luisglez2626.github.io/rotary/club.html,Cozumel,México,Quintana Roo,True,+52 967 472-1053,cozumel@clubesrotary.mx
E-club International Distrito 4195,,luisglez2626.github.io/rotary/club.html,,México,,False,+52 967 912-7734,eclubinternationaldistrito4195@rotary4195.mx
E-Club of Latinoamérica,,luisglez2626.github.io/rotary/club.html,,México,,False,+52 921 609-1539,ecluboflatinoamerica@rotary4195.mx
Ejecutivo de Progreso Yucatán,"Avenida Malecón, Malecón, Progreso",luisglez2626.github.io/rotary/club.html,Progreso,México,Yucatán,True,+52 968 666-6948,ejecutivodeprogresoyucatan@rotaryd4195.org
Ejecutivo de Tuxtla Gutiérrez,"Hotel Marriott, Salón del Sol, Tuxtla Gutiérrez",luisglez2626.github.io/rotary/club.html,Tuxtla Gutiérrez,México,Chiapas,True,+52 971 954-9838,ejecutivodetuxtlagutierrez@rotarymexico.org
Ejecutivo San Cristobal de las Casas,"Calle Flavio A. Paniagua No. 17, Col. Centro Histórico, San Cristóbal de Las Casas",luisglez2626.github.io/rotary/club.html,San Cristóbal de Las Casas,México,Chiapas,True,+52 287 847-9750,ejecutivosancristobaldelascasas@rotarymexico.org
Escárcega,"Av. Justo Sierra, frente al Hotel Ma. Isabel, Escárcega",luisglez2626.github.io/rotary/club.html,Escárcega,México,Campeche,True,+52 967 376-9065,escarcega@rotary4195.mx
Guelaguetza de Oaxaca,"Calzada Héroes de Chapultepec 903, Col. Reforma, Oaxaca de Juárez",luisglez2626.github.io/rotary/club.html,Oaxaca de Juárez,México,Oaxaca,True,+52 984 848-1146,guelaguetzadeoaxaca@rotary4195.mx
Huajuapan de León,"Heroico Colegio Militar 1, Centro, Huajuapan de León",luisglez2626.github.io/rotary/club.html,Huajuapan de León,México,Oaxaca,True,+52 986 654-3598,huajuapandeleon@rotaryd4195.org
Isla,"Cházaro 13, Isla",luisglez2626.github.io/rotary/club.html,Isla,México,Veracruz,True,+52 962 674-3407,isla@rotary4195.mx
Izamal Tres Culturas,"Calle 31 # 385 D, Izamal",luisglez2626.github.io/rotary/club.html,Izamal,México,Yucatán,True,+52 988 293-9690,izamaltresculturas@rotarymexico.org
Kukulkan Cancun,"Alcatraces 39, SM 22, Cancún",luisglez2626.github.io/rotary/club.html,Cancún,México,Quintana Roo,True,+52 229 294-7227,kukulkancancun@rotarymexico.org
La Mixteca de Huajuapan de León,"En el Salón Rotario, Calle de Pinos 1, Agencia Santa Teresa, CP 69005, Heroica Ciudad de Huajuapan de León, Oaxaca",luisglez2626.github.io/rotary/club.html,Huajuapan de León,México,Oaxaca,True,+52 988 237-4580,lamixtecadehuajuapandeleon@rotary4195.mx
Loma Bonita,"Av. 16 de Septiembre # 39, Primer Piso, Loma Bonita",luisglez2626.github.io/rotary/club.html,Loma Bonita,México,Oaxaca,True,+52 985 770-7885,lomabonita@clubesrotary.mx
Macuili-Villahermosa,"Col. Magisterial, Villahermosa",luisglez2626.github.io/rotary/club.html,Villahermosa,México,Tabasco,True,+52 282 723-5879,macuilivillahermosa@clubesrotary.mx
Mérida,"Av. Rotarismo Internacional 109, Col. Itzimná, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 998 695-7980,merida@rotaryd4195.org
Mérida English,"Av. Rotarismo Internacional No. 109, Itzimná, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 986 702-2643,meridaenglish@clubesrotary.mx
Mérida Norte,"Calle 37 No. 509, Col. Sol Campestre, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 986 637-3688,meridanorte@clubesrotary.mx
Mérida-Itzaes,"Calle 1E No. 101 x 14 A y 16, Col. México Norte, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 938 748-2580,meridaitzaes@rotarymexico.org
Mérida-Montejo,"Calle 31B No. 399 entre 28 y 30, Col. López Mateos, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 962 640-6072,meridamontejo@clubesrotary.mx
Meridanas,"Casa Los Mellizos, Dzitia, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 986 926-3860,meridanas@rotarymexico.org
Minatitlán,"Carretera Transítmica Km. 264 “Y”, Col. Nueva Mina, Minatitlán",luisglez2626.github.io/rotary/club.html,Minatitlán,México,Veracruz,True,+52 938 602-8251,minatitlan@rotary4195.mx
Montecristo,"Calle 4 N.º 141B, Local 1 x 17, Col. Montecristo, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 967 250-2844,montecristo@rotaryd4195.org
Motul,"Calle 26 N° 286 entre 25 y 27, Col. Centro, Motul",luisglez2626.github.io/rotary/club.html,Motul,México,Yucatán,True,+52 962 992-3944,motul@clubesrotary.mx
Oaxaca,"Calzada Héroes de Chapultepec 903, Oaxaca de Juárez",luisglez2626.github.io/rotary/club.html,Oaxaca de Juárez,México,Oaxaca,True,+52 972 928-4799,oaxaca@rotaryd4195.org
Oaxaca Antequera,"Calzada Niños Héroes de Chapultepec 903, frente a la terminal de autobuses ADO, Oaxaca de Juárez",luisglez2626.github.io/rotary/club.html,Oaxaca de Juárez,México,Oaxaca,True,+52 287 950-9068,oaxacaantequera@rotarymexico.org
Oaxaca Benemérito,"Calzada Héroes de Chapultepec 903, Reforma, Oaxaca de Juárez",luisglez2626.github.io/rotary/club.html,Oaxaca de Juárez,México,Oaxaca,True,+52 967 782-5951,oaxacabenemerito@rotary4195.mx
Oaxaca Binnizá,"Emilio Carranza 1201, altos, Col. Reforma, C.P. 68000, Oaxaca de Juárez",luisglez2626.github.io/rotary/club.html,Oaxaca de Juárez,México,Oaxaca,True,+52 987 276-2098,oaxacabinniza@rotaryd4195.org
Oriente de Tuxtla Gutiérrez,"3a. Poniente Sur No. 564, Col. Terán, Tuxtla Gutiérrez",luisglez2626.github.io/rotary/club.html,Tuxtla Gutiérrez,México,Chiapas,True,+52 985 943-5905,orientedetuxtlagutierrez@clubesrotary.mx
Palenque,"Rancho San Martín de Porres s/n, Periférico Oriente s/n, Palenque",luisglez2626.github.io/rotary/club.html,Palenque,México,Chiapas,True,+52 987 404-5422,palenque@rotary4195.mx
Perla del Golfo de Ciudad del Carmen,"Calle 55 No. 17 A entre 26 y 26 A, Colonia Revolución, Ciudad del Carmen",luisglez2626.github.io/rotary/club.html,Ciudad del Carmen,México,Campeche,True,+52 986 945-1929,perladelgolfodeciudaddelcarmen@rotarymexico.org
Playa del Carmen,"130th Ave., por Calle 2 y Juárez Ave., Colonia Ejidal, Playa del Carmen",luisglez2626.github.io/rotary/club.html,Playa del Carmen,México,Quintana Roo,True,+52 984 777-4208,playadelcarmen@rotarymexico.org
Playa del Carmen Empresarial,Playa del Carmen,luisglez2626.github.io/rotary/club.html,Playa del Carmen,México,Quintana Roo,True,+52 983 949-4456,playadelcarmenempresarial@rotaryd4195.org
Playa del Carmen Seaside,"Calle 38, almost to the beach, Playa del Carmen",luisglez2626.github.io/rotary/club.html,Playa del Carmen,México,Quintana Roo,True,+52 921 982-5935,playadelcarmenseaside@rotary4195.mx
Pochtl-Tlán de San Pedro Pochutla,"Constitución 49, Centro, San Pedro Pochutla",luisglez2626.github.io/rotary/club.html,San Pedro Pochutla,México,Oaxaca,True,+52 971 277-8374,pochtltlandesanpedropochutla@rotarymexico.org
Poniente de Tuxtla Gutierrez,"Carretera Panamericana Km. 1078, Tuxtla Gutiérrez",luisglez2626.github.io/rotary/club.html,Tuxtla Gutiérrez,México,Chiapas,True,+52 972 500-8724,ponientedetuxtlagutierrez@rotaryd4195.org
Puerto Escondido,"Camino a Carrizalillo s/n, Col. Rinconada, Puerto Escondido",luisglez2626.github.io/rotary/club.html,Puerto Escondido,México,Oaxaca,True,+52 972 802-9024,puertoescondido@rotaryd4195.org
Puerto Morelos,"Av. Javier Rojo Gómez, entre Calle Isla Mujeres y Tulum, a un costado de Chedraui Selecto, Puerto Morelos",luisglez2626.github.io/rotary/club.html,Puerto Morelos,México,Quintana Roo,True,+52 938 243-6752,puertomorelos@rotary4195.mx
Puerto Progreso,"Calle 21 # 124 x 58 y 60, Col. Ismael García, Progreso",luisglez2626.github.io/rotary/club.html,Progreso,México,Yucatán,True,+52 968 713-6858,puertoprogreso@rotary4195.mx
Real del Grijalva-Villahermosa,"Fracc. Madeiras, Villahermosa",luisglez2626.github.io/rotary/club.html,Villahermosa,México,Tabasco,True,+52 229 775-2663,realdelgrijalvavillahermosa@rotarymexico.org
Salina Cruz,"Carretera Transístmica Km. 6.5, Salina Cruz",luisglez2626.github.io/rotary/club.html,Salina Cruz,México,Oaxaca,True,+52 985 678-3257,salinacruz@rotarymexico.org
San Andrés Tuxtla Eyipantla,"Juárez 528, casi esq. con Vallarta, Col. Centro, San Andrés Tuxtla",luisglez2626.github.io/rotary/club.html,San Andrés Tuxtla,México,Veracruz,True,+52 921 581-3016,sanandrestuxtlaeyipantla@rotaryd4195.org
San Cristóbal de las Casas,"Zona Centro, San Cristóbal de Las Casas",luisglez2626.github.io/rotary/club.html,San Cristóbal de Las Casas,México,Chiapas,True,+52 967 244-8262,sancristobaldelascasas@rotarymexico.org
Santiago Pinotepa Nacional,"Sexta Norte s/n, casi esquina Libramiento, Barrio Las Flores, Santiago Pinotepa Nacional",luisglez2626.github.io/rotary/club.html,Santiago Pinotepa Nacional,México,Oaxaca,True,+52 962 939-4536,santiagopinotepanacional@rotaryd4195.org
Tabasco 2000 in Villahermosa,"Av. Paseo Usumacinta 1402, La Choca, Villahermosa",luisglez2626.github.io/rotary/club.html,Villahermosa,México,Tabasco,True,+52 984 578-8806,tabasco2000invillahermosa@rotarymexico.org
Tabasco Villahermosa,"Av. Niños Héroes # 406, Colonia Atasta, Villahermosa",luisglez2626.github.io/rotary/club.html,Villahermosa,México,Tabasco,True,+52 963 518-7543,tabascovillahermosa@rotarymexico.org
Tapachula Centenario,"11 Av. # 1, Col. Centro, Tapachula",luisglez2626.github.io/rotary/club.html,Tapachula,México,Chiapas,True,+52 229 655-9915,tapachulacentenario@rotaryd4195.org
Tehuantepec,"Aldama No. 5, Barrio San Sebastián, Santo Domingo Tehuantepec",luisglez2626.github.io/rotary/club.html,Santo Domingo Tehuantepec,México,Oaxaca,True,+52 229 528-4370,tehuantepec@rotarymexico.org
Ticul Perla del Sur,"Calle 26 # 265 x 37, Ticul",luisglez2626.github.io/rotary/club.html,Ticul,México,Yucatán,True,+52 984 803-8355,ticulperladelsur@rotary4195.mx
Tizimín,"Calle 54 # 394 x 45 y 47, Tizimín",luisglez2626.github.io/rotary/club.html,Tizimín,México,Yucatán,True,+52 968 256-7090,tizimin@clubesrotary.mx
Todos Somos Merida,"Calle 7, No. 194, García Ginerés, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 921 387-2007,todossomosmerida@clubesrotary.mx
Tulum,"Avenida Satélite, Hotel Biwa, Tulum",luisglez2626.github.io/rotary/club.html,Tulum,México,Quintana Roo,True,+52 967 697-7083,tulum@rotary4195.mx
Tuxtepec,"Av. 5 de Mayo y Guerrero, Bajos del Palacio Municipal, San Juan Bautista Tuxtepec",luisglez2626.github.io/rotary/club.html,San Juan Bautista Tuxtepec,México,Oaxaca,True,+52 229 582-2749,tuxtepec@clubesrotary.mx
Tuxtepec Cuenca,"Av. 5 de Mayo Esq. Guerrero, Bajos del Palacio Municipal, San Juan Bautista Tuxtepec",luisglez2626.github.io/rotary/club.html,San Juan Bautista Tuxtepec,México,Oaxaca,True,+52 985 807-1915,tuxtepeccuenca@rotarymexico.org
Tuxtepec Papaloapan,"Av. Francisco I. Madero Lote 1, Manzana 52, Fraccionamiento Los Ángeles, San Juan Bautista Tuxtepec",luisglez2626.github.io/rotary/club.html,San Juan Bautista Tuxtepec,México,Oaxaca,True,+52 962 749-4949,tuxtepecpapaloapan@rotarymexico.org
Tuxtla Gutiérrez,"Blvd. Belisario Domínguez No. 3875, Colonia Terán, Tuxtla Gutiérrez",luisglez2626.github.io/rotary/club.html,Tuxtla Gutiérrez,México,Chiapas,True,+52 997 311-9542,tuxtlagutierrez@rotarymexico.org
Tuxtla Milenio de Tuxtla Gutiérrez,,luisglez2626.github.io/rotary/club.html,Tuxtla Gutiérrez,México,Chiapas,True,+52 921 921-7627,tuxtlamileniodetuxtlagutierrez@clubesrotary.mx
Valladolid Pueblo Mágico,"Calle 45 No. 227, esquina con 60, Barrio Bacalar, Valladolid",luisglez2626.github.io/rotary/club.html,Valladolid,México,Yucatán,True,+52 921 425-1403,valladolidpueblomagico@clubesrotary.mx
Villahermosa,"Paseo Usumacinta 1708, Esq. Periférico, Tabasco 2000, Col. Carrizal, C.P. 86038, Villahermosa",luisglez2626.github.io/rotary/club.html,Villahermosa,México,Tabasco,True,+52 987 882-2218,villahermosa@clubesrotary.mx
Villahermosa Meyaj,,luisglez2626.github.io/rotary/club.html,Villahermosa,México,Tabasco,True,+52 988 700-1867,villahermosameyaj@rotary4195.mx
Villahermosa Olmeca,"Prolongación de Av. 27 de Febrero, esq. con Av. Usumacinta, Villahermosa",luisglez2626.github.io/rotary/club.html,Villahermosa,México,Tabasco,True,+52 997 707-1160,villahermosaolmeca@clubesrotary.mx
Xicalango Ciudad del Carmen,"Av. Concordia s/n, Fracc. Camaroneros, Ciudad del Carmen",luisglez2626.github.io/rotary/club.html,Ciudad del Carmen,México,Campeche,True,+52 962 866-6861,xicalangociudaddelcarmen@rotaryd4195.org
Xquenda Oaxaca,"Calzada Héroes de Chapultepec 903, Oaxaca de Juárez",luisglez2626.github.io/rotary/club.html,Oaxaca de Juárez,México,Oaxaca,True,+52 986 402-9192,xquendaoaxaca@clubesrotary.mx
Ya'ax Ché Mérida,"Avenida Carlos Torre Repetto # 495, Col. Centro de Mérida, Mérida",luisglez2626.github.io/rotary/club.html,Mérida,México,Yucatán,True,+52 998 999-2773,yaaxchemerida@rotaryd4195.org
Zicatela-Puerto Escondido,"Calle 1ra. Sur s/n, Sector Reforma, Puerto Escondido",luisglez2626.github.io/rotary/club.html,Puerto Escondido,México,Oaxaca,True,+52 962 389-5447,zicatelapuertoescondido@clubesrotary.mx
